Issue Key,Summary,Description,Assignee,Reporter,Issue Type,Priority,Status,Component,Created,Due Date
SWP-1,User Authentication Failure,"Users unable to log in due to OAuth 2.0 token refresh failure, causing session timeouts.",Bob,Heidi,Bug,High,In Progress,Authentication,11-06-2025,25-06-2025
SWP-2,Payment Gateway Transaction Error,"Stripe payments intermittently fail with 500 errors during webhook processing, causing order delays.",Eve,Grace,Bug,High,Open,Payment Processing,05-07-2025,16-07-2025
SWP-3,Database Migration Tool,Create automated database migration scripts to transition from MySQL to PostgreSQL with data integrity validation and rollback capabilities.,Bob,Judy,Task,High,Done,Database,02-06-2025,10-06-2025
SWP-4,Push Notification Delivery Issue,Push notifications not delivered to iOS devices due to incorrect APNs certificate configuration.,Eve,Ivan,Bug,Medium,In Progress,Notifications,23-06-2025,08-07-2025
SWP-5,API Rate Limiting Implementation,"Build robust API rate limiting system with Redis backend, dynamic throttling, and detailed analytics for enterprise applications.",Frank,Ivan,Task,High,In Progress,API,04-06-2025,16-06-2025
SWP-6,Chatbot Response Error,Customer support chatbot fails to escalate tickets to human agents when keywords are misparsed.,Bob,Grace,Bug,Medium,Open,Chat System,02-06-2025,11-06-2025
SWP-7,CMS Content Loss,"Headless CMS loses draft content during version control sync, affecting multi-language pages.",Frank,Grace,Bug,High,In Progress,Content Management,16-05-2025,28-05-2025
SWP-8,Data Analytics Dashboard,"Create interactive business intelligence dashboard with real-time metrics, custom reports, and data visualization components.",Frank,Heidi,Story,Medium,In Progress,Analytics,06-06-2025,19-06-2025
SWP-9,Inventory System Stock Mismatch,Warehouse inventory shows incorrect stock levels due to barcode scanner sync failures.,Eve,Ivan,Bug,High,Open,Inventory Management,30-05-2025,05-06-2025
SWP-10,Email Campaign Delivery Failure,Email campaigns not delivered to Gmail users due to SPF record misconfiguration.,Eve,Ivan,Bug,Medium,In Progress,Email Marketing,05-07-2025,19-07-2025
SWP-11,Video Streaming Buffering Issue,Videos buffer excessively on low-bandwidth connections despite CDN integration.,Alice,Heidi,Bug,High,Open,Video Streaming,23-06-2025,06-07-2025
SWP-12,Social Media Post Scheduling Error,Scheduled posts fail to publish on Twitter due to API token expiration.,Eve,Ivan,Bug,Medium,In Progress,Social Media,20-05-2025,31-05-2025
SWP-13,Document Access Permission Bug,Users with read-only permissions can edit documents due to incorrect access control checks.,Diana,Grace,Bug,High,Open,Document Management,25-05-2025,08-06-2025
SWP-14,Appointment Scheduling Conflict,Online booking platform allows double-booking due to calendar sync failures.,Bob,Heidi,Bug,Medium,In Progress,Scheduling,19-05-2025,27-05-2025
SWP-15,Chat Message Encryption Failure,"Messages in group chats are not encrypted, exposing sensitive user data.",Charlie,Heidi,Bug,High,Open,Chat System,13-05-2025,16-05-2025
SWP-16,Performance Monitoring Tool,"Build application performance monitoring with error tracking, response time analysis, and automated alerting system.",Eve,Heidi,Task,High,In Progress,Monitoring,06-07-2025,11-07-2025
SWP-17,Code Review Platform,"Develop collaborative code review system with diff visualization, comment threading, approval workflows, and Git integration.",Frank,Heidi,Story,Medium,Done,Code Review,22-05-2025,05-06-2025
SWP-18,Backup Restoration Failure,"Incremental backups fail to restore correctly, causing data loss during recovery.",Charlie,Grace,Bug,High,In Progress,Backup,07-07-2025,19-07-2025
SWP-19,Search Functionality Crash,Website search crashes when Elasticsearch query exceeds memory limits.,Charlie,Grace,Bug,Medium,Open,Search,25-06-2025,06-07-2025
SWP-20,SSO Login Timeout,Enterprise SSO system times out during SAML authentication with Azure AD.,Eve,Judy,Bug,High,In Progress,Authentication,24-06-2025,30-06-2025
SWP-21,Microservices Deployment Failure,Microservices fail to deploy due to service discovery misconfiguration.,Frank,Grace,Bug,High,Open,Microservices,05-06-2025,18-06-2025
SWP-22,Continuous Integration Pipeline,"Set up CI/CD pipeline with automated testing, code quality checks, deployment automation, and rollback capabilities.",Bob,Judy,Task,High,Done,CI/CD,05-07-2025,10-07-2025
SWP-23,Machine Learning Model,"Develop predictive analytics model for customer churn with data preprocessing, model training, and production deployment.",Alice,Grace,Task,High,In Progress,Machine Learning,07-07-2025,22-07-2025
SWP-24,IoT Device Firmware Update Error,"IoT devices fail to apply firmware updates, causing connectivity issues.",Alice,Heidi,Bug,High,In Progress,IoT,19-06-2025,28-06-2025
SWP-25,Blockchain Transaction Delay,Blockchain supply chain transactions are delayed due to smart contract gas limit errors.,Eve,Judy,Bug,High,Open,Blockchain,31-05-2025,05-06-2025
SWP-26,Cloud Migration Data Loss,Data is lost during AWS migration due to incomplete containerization.,Eve,Judy,Bug,High,Blocked,Cloud Infrastructure,08-06-2025,19-06-2025
SWP-27,Security Audit False Positives,Security scanning tool reports false positives for non-existent vulnerabilities.,Bob,Judy,Bug,Medium,In Progress,Security,21-06-2025,25-06-2025
SWP-28,Employee Onboarding Portal,"Create digital onboarding platform with document collection, training modules, and progress tracking for HR department.",Eve,Ivan,Story,Medium,Done,HR Management,02-07-2025,09-07-2025
SWP-29,Geolocation Tracking Inaccuracy,GPS tracking shows incorrect user locations due to geofencing calculation errors.,Diana,Ivan,Bug,Medium,Open,Geolocation,01-07-2025,16-07-2025
SWP-30,File Synchronization System,"Develop cross-platform file sync service with conflict resolution, offline access, and sharing capabilities.",Charlie,Heidi,Story,Medium,Done,File Sync,25-06-2025,03-07-2025
SWP-31,Order Processing Payment Failure,E-commerce orders fail due to payment verification errors with PayPal.,Charlie,Grace,Bug,High,In Progress,Order Management,21-05-2025,03-06-2025
SWP-32,User Interface Rendering Issue,Application UI fails to render correctly on mobile devices due to CSS conflicts.,Charlie,Heidi,Bug,Medium,In Progress,User Interface,21-05-2025,04-06-2025
